team,year,player,contract_years_remaining,contract_thru,position,full_name,salary_year,salary_total,year_counter,obs,mean_salary,mean_remaining
"Philadelphia 76ers","2004-05","McKie, Aaron",7,"2005-06 (p)","G","Aaron McKie",5500000,38500000,4,6,4000000,5.333333
"Los Angeles Lakers","2005-06","McKie, Aaron",2,"2006-07","G","Aaron McKie",2500000,5000000,5,6,4000000,5.333333
"Los Angeles Lakers","2006-07","McKie, Aaron",2,"2006-07","G","Aaron McKie",2500000,5000000,6,6,4000000,5.333333
"New Jersey Nets","2001-02","Williams, Aaron",6,"2005-06","C-F","Aaron Williams",2475000,17000000,1,7,2700714,4.857143
"New Jersey Nets","2002-03","Williams, Aaron",6,"2004-05","C-F","Aaron Williams",2700000,17000000,2,7,2700714,4.857143
"New Jersey Nets","2003-04","Williams, Aaron",6,"2004-05","C-F","Aaron Williams",2925000,17000000,3,7,2700714,4.857143
"Toronto Raptors","2004-05","Williams, Aaron",6,"2004-05 (p)","C-F","Aaron Williams",3790000,17000000,4,7,2700714,4.857143
"New Orleans Hornets","2005-06","Williams, Aaron",6,"2005-06","C-F","Aaron Williams",3375000,17000000,5,7,2700714,4.857143
"Los Angeles Clippers","2006-07","Williams, Aaron",2,"2007-08","C-F","Aaron Williams",1750000,3540000,6,7,2700714,4.857143
"Los Angeles Clippers","2007-08","Williams, Aaron",2,"2007-08","PF","Aaron Williams",1890000,3540000,7,7,2700714,4.857143
"Atlanta Hawks","2007-08","Law, Acie",3,"2009-10","PG","Acie Law",1927080,6214920,1,2,1999380,3
"Atlanta Hawks","2008-09","Law, Acie",3,"2009-10","G","Acie Law",2071680,6214920,2,2,1999380,3
"Charlotte Bobcats","2006-07","Morrison , Adam",4,"2009-10 (t)","F","Adam Morrison",3616680,16920000,1,1,3616680,4
"Golden State Warriors","2001-02","Foyle, Adonal",4,"2003-04","C","Adonal Foyle",4400000,18000000,1,8,6231824,4.75
"Golden State Warriors","2002-03","Foyle, Adonal",4,"2003-04","C","Adonal Foyle",4400000,18000000,2,8,6231824,4.75
"Golden State Warriors","2003-04","Foyle, Adonal",4,"2003-04","C","Adonal Foyle",4400000,18000000,3,8,6231824,4.75
"Golden State Warriors","2004-05","Foyle, Adonal",6,"2009-10","C","Adonal Foyle",6500000,51200000,4,8,6231824,4.75
"Golden State Warriors","2005-06","Foyle, Adonal",6,"2009-10","C","Adonal Foyle",7310000,51200000,5,8,6231824,4.75
"Golden State Warriors","2006-07","Foyle, Adonal",6,"2009-10","C","Adonal Foyle",8125000,51200000,6,8,6231824,4.75
"Orlando Magic","2007-08","Foyle, Adonal",6,"2009-10","C","Adonal Foyle",6519590,42000000,7,8,6231824,4.75
"Orlando Magic","2008-09","Foyle, Adonal",2,"2009-10","C","Adonal Foyle",8200000,7600000,8,8,6231824,4.75
"Dallas Mavericks","2001-02","Griffin, Adrian",2,"2002-03","F-G","Adrian Griffin",550000,1200000,1,7,959236.9,2
"Dallas Mavericks","2002-03","Griffin, Adrian",1,"2002-03","F-G","Adrian Griffin",637435,1200000,2,7,959236.9,2
"Houston Rockets","2003-04","Griffin, Adrian",2,"2004-05","F-G","Adrian Griffin",688679,1500000,3,7,959236.9,2
"Chicago Bulls","2004-05","Griffin, Adrian",2,"2004-05","G-F","Adrian Griffin",870046,1500000,4,7,959236.9,2
"Dallas Mavericks","2005-06","Griffin, Adrian",1,"2005-06","G-F","Adrian Griffin",900498,900498,5,7,959236.9,2
"Chicago Bulls","2006-07","Griffin, Adrian",3,"2008-09","G-F","Adrian Griffin",1475000,4780000,6,7,959236.9,2
"Seattle SuperSonics","2007-08","Griffin, Adrian",3,"2008-09","G","Adrian Griffin",1593000,4780000,7,7,959236.9,2
"Indiana Pacers","2001-02","Harrington, Al",4,"2005-06","F","Al Harrington",1436982,24000000,1,8,6208645,4
"Indiana Pacers","2002-03","Harrington, Al",4,"2005-06","F","Al Harrington",5060000,24000000,2,8,6208645,4
"Indiana Pacers","2003-04","Harrington, Al",4,"2005-06","F","Al Harrington",5690000,24000000,3,8,6208645,4
"Atlanta Hawks","2004-05","Harrington, Al",4,"2005-06","F","Al Harrington",6325000,24000000,4,8,6208645,4
"Atlanta Hawks","2005-06","Harrington, Al",4,"2005-06","F","Al Harrington",5880000,24000000,5,8,6208645,4
"Golden State Warriors","2006-07","Harrington, Al",4,"2009-10","F-C","Al Harrington",7625000,39300000,6,8,6208645,4
"Golden State Warriors","2007-08","Harrington, Al",4,"2009-10 (p)","SF","Al Harrington",8425625,35300000,7,8,6208645,4
"New York Knicks","2008-09","Harrington, Al",4,"2009-10 (p)","F","Al Harrington",9226550,35300000,8,8,6208645,4
"Atlanta Hawks","2007-08","Horford, Al",3,"2009-10","PF","Al Horford",3745800,12080160,1,2,3884760,3
"Atlanta Hawks","2008-09","Horford, Al",3,"2009-10","C-F","Al Horford",4023720,12080160,2,2,3884760,3
"Boston Celtics","2004-05","Jefferson, Al",4,"2007-08 (t)","F","Al Jefferson",1407200,7020000,1,5,3603849,4.4
"Boston Celtics","2005-06","Jefferson, Al",4,"2007-08 (t)","F","Al Jefferson",1512840,7020000,2,5,3603849,4.4
"Boston Celtics","2006-07","Jefferson, Al",4,"2007-08 (t)","F-C","Al Jefferson",1618320,7020000,3,5,3603849,4.4
"Minnesota Timberwolves","2007-08","Jefferson, Al",5,"2011-12","PF","Al Jefferson",2480885,65000000,4,5,3603849,4.4
"Minnesota Timberwolves","2008-09","Jefferson, Al",5,"2011-12","C-F","Al Jefferson",11000000,65000000,5,5,3603849,4.4
"Los Angeles Clippers","2007-08","Thornton, Al",5,"2011-12 (t)","SF","Al Thornton",1652280,9243267,1,2,1714260,5
"Los Angeles Clippers","2008-09","Thornton, Al",5,"2011-12 (t)","F","Al Thornton",1776240,9243267,2,2,1714260,5
"Charlotte Bobcats","2005-06","Anderson, Alan",2,"2006-07 (t)","G-F","Alan Anderson",398762,1062971,1,1,398762,2
"Atlanta Hawks","2001-02","Henderson, Alan",7,"2004-05","F-C","Alan Henderson",6500313,45000000,1,5,6137325,5.8
"Atlanta Hawks","2002-03","Henderson, Alan",7,"2002-03 (p)","F-C","Alan Henderson",7091000,45000000,2,5,6137325,5.8
"Atlanta Hawks","2003-04","Henderson, Alan",7,"2004-05","F-C","Alan Henderson",7682188,45000000,3,5,6137325,5.8
"Dallas Mavericks","2004-05","Henderson, Alan",7,"2004-05","F-C","Alan Henderson",8273125,45000000,4,5,6137325,5.8
"Cleveland Cavaliers","2005-06","Henderson, Alan",1,"2005-06","F-C","Alan Henderson",1140000,1140000,5,5,6137325,5.8
"Phoenix Suns","2007-08","Tucker, Alando",5,"2011-12 (t)","SF","Alando Tucker",931920,5907202,1,2,966900,5
"Phoenix Suns","2008-09","Tucker, Alando",5,"2011-12 (t)","F","Alando Tucker",1001880,5907202,2,2,966900,5
"Detroit Pistons","2005-06","Acker, Alex",1,"2005-06","G","Alex Acker",398762,398762,1,2,555139.5,1
"Los Angeles Clippers","2008-09","Acker, Alex",1,"2008-09","G","Alex Acker",711517,711517,2,2,555139.5,1
"San Antonio Spurs","2003-04","Garcia, Alex",1,"2003-04","G-F","Alex Garcia",366931,366931,1,1,366931,1
"Memphis Grizzlies","2006-07","Johnson , Alexander",2,"2007-08","F","Alexander Johnson",412718,1100000,1,3,632585,1.666667
"Miami Heat","2007-08","Johnson , Alexander",2,"2007-08","SF","Alexander Johnson",687456,1100000,2,3,632585,1.666667
"Miami Heat","2008-09","Johnson , Alexander",1,"2008-09","F","Alexander Johnson",797581,797581,3,3,632585,1.666667
"Dallas Mavericks","2007-08","Ajinca, Alexis",1,"2007-08","C","Alexis Ajinca",5200000,5200000,1,2,3238160,3
"Charlotte Bobcats","2008-09","Ajinca, Alexis",5,"2012-13","C","Alexis Ajinca",1276320,9623114,2,2,3238160,3
"New York Knicks","2001-02","Houston, Allan",6,"2006-07","G","Allan Houston",12750000,1.004e+08,1,4,1.51e+07,6
"New York Knicks","2002-03","Houston, Allan",6,"2006-07","G","Allan Houston",14343750,1.004e+08,2,4,1.51e+07,6
"New York Knicks","2003-04","Houston, Allan",6,"2006-07","G","Allan Houston",15937500,1.004e+08,3,4,1.51e+07,6
"New York Knicks","2004-05","Houston, Allan",6,"2006-07","G","Allan Houston",17531250,1.004e+08,4,4,1.51e+07,6
"Boston Celtics","2006-07","Ray , Allan",2,"2007-08","G","Allan Ray",412718,1100174,1,1,412718,2
"Philadelphia 76ers","2001-02","Iverson, Allen",6,"2004-05","G","Allen Iverson",11250000,80000000,1,8,1.57e+07,6
"Philadelphia 76ers","2002-03","Iverson, Allen",6,"2003-04 (p)","G","Allen Iverson",12375000,80000000,2,8,1.57e+07,6
"Philadelphia 76ers","2003-04","Iverson, Allen",6,"2008-09","G","Allen Iverson",13500000,90200000,3,8,1.57e+07,6
"Philadelphia 76ers","2004-05","Iverson, Allen",6,"2008-09","G","Allen Iverson",14625000,90200000,4,8,1.57e+07,6
"Philadelphia 76ers","2005-06","Iverson, Allen",6,"2008-09","G","Allen Iverson",16450000,90200000,5,8,1.57e+07,6
"Denver Nuggets","2006-07","Iverson, Allen",6,"2008-09","G","Allen Iverson",17184375,90200000,6,8,1.57e+07,6
"Denver Nuggets","2007-08","Iverson, Allen",6,"2008-09","G","Allen Iverson",19195312,90200000,7,8,1.57e+07,6
"Detroit Pistons","2008-09","Iverson, Allen",6,"2008-09","G","Allen Iverson",20840625,90200000,8,8,1.57e+07,6
"Miami Heat","2001-02","Mourning, Alonzo",7,"2002-03","C","Alonzo Mourning",18756600,1.120e+08,1,7,7289915,3.571429
"Miami Heat","2002-03","Mourning, Alonzo",7,"2002-03","C","Alonzo Mourning",20629800,1.120e+08,2,7,7289915,3.571429
"New Jersey Nets","2003-04","Mourning, Alonzo",4,"2006-07","C","Alonzo Mourning",4917000,22620000,3,7,7289915,3.571429
"Miami Heat","2004-05","Mourning, Alonzo",1,"2004-05","C","Alonzo Mourning",325000,1100000,4,7,7289915,3.571429
"Miami Heat","2005-06","Mourning, Alonzo",2,"2005-06","C","Alonzo Mourning",1138500,2238500,5,7,7289915,3.571429
"Miami Heat","2006-07","Mourning, Alonzo",2,"2007-08","C","Alonzo Mourning",2500000,5263000,6,7,7289915,3.571429
"Miami Heat","2007-08","Mourning, Alonzo",2,"2007-08","C","Alonzo Mourning",2762500,5263000,7,7,7289915,3.571429
"Phoenix Suns","2001-02","Ford, Alton",2,"2002-03","F","Alton Ford",332817,845252,1,2,422626,2
"Phoenix Suns","2002-03","Ford, Alton",2,"2002-03","F","Alton Ford",512435,845252,2,2,422626,2
"Philadelphia 76ers","2001-02","Jones, Alvin",2,"2002-03","C","Alvin Jones",332817,845252,1,1,332817,2
"Toronto Raptors","2001-02","Williams, Alvin",5,"2005-06","G","Alvin Williams",5350000,25000000,1,5,5670000,6.6
"Toronto Raptors","2002-03","Williams, Alvin",7,"2004-05 (p)","G","Alvin Williams",5350000,42000000,2,5,5670000,6.6
"Toronto Raptors","2003-04","Williams, Alvin",7,"2005-06 (p)","G","Alvin Williams",5500000,42000000,3,5,5670000,6.6
"Toronto Raptors","2004-05","Williams, Alvin",7,"2005-06 (p)","G","Alvin Williams",5850000,42000000,4,5,5670000,6.6
"Toronto Raptors","2005-06","Williams, Alvin",7,"2005-06 (p)","G","Alvin Williams",6300000,42000000,5,5,5670000,6.6
"San Antonio Spurs","2001-02","McCaskill, Amal",2,"2002-03","C","Amal McCaskill",540850,1150000,1,2,677264.5,1.5
"Philadelphia 76ers","2003-04","McCaskill, Amal",1,"2003-04","C","Amal McCaskill",813679,813679,2,2,677264.5,1.5
"Phoenix Suns","2002-03","Stoudemire, Amare",4,"2004-05 (t)","F","Amare Stoudemire",1767120,8290000,1,7,7082481,4.285714
"Phoenix Suns","2003-04","Stoudemire, Amare",4,"2005-06 (t)","F","Amare Stoudemire",1899720,8290000,2,7,7082481,4.285714
"Phoenix Suns","2004-05","Stoudemire, Amare",4,"2005-06 (t)","C","Amare Stoudemire",2032200,8290000,3,7,7082481,4.285714
"Phoenix Suns","2005-06","Stoudemire, Amare",5,"2010-11","C","Amare Stoudemire",2590000,73000000,4,7,7082481,4.285714
"Phoenix Suns","2006-07","Stoudemire, Amare",5,"2010-11","C","Amare Stoudemire",12455000,73000000,5,7,7082481,4.285714
"Phoenix Suns","2007-08","Stoudemire, Amare",5,"2010-11","PF","Amare Stoudemire",13762775,73000000,6,7,7082481,4.285714
"Phoenix Suns","2008-09","Stoudemire, Amare",3,"2010-11","F-C","Amare Stoudemire",15070550,49134975,7,7,7082481,4.285714
"Detroit Pistons","2005-06","Johnson, Amir",1,"2005-06","F","Amir Johnson",398762,398762,1,4,2099074,2
"Detroit Pistons","2006-07","Johnson, Amir",1,"2006-07","F","Amir Johnson",664200,664200,2,4,2099074,2
"Detroit Pistons","2007-08","Johnson, Amir",3,"2009-10","SF","Amir Johnson",3666667,11000000,3,4,2099074,2
"Detroit Pistons","2008-09","Johnson, Amir",3,"2009-10","F","Amir Johnson",3666667,11000000,4,4,2099074,2
"Cleveland Cavaliers","2004-05","Varejao, Anderson",3,"2006-07","F","Anderson Varejao",788000,2600000,1,5,2748176,3
"Cleveland Cavaliers","2005-06","Varejao, Anderson",3,"2006-07","F","Anderson Varejao",866800,2600000,2,5,2748176,3
"Cleveland Cavaliers","2006-07","Varejao, Anderson",3,"2006-07","C-F","Anderson Varejao",945600,2600000,3,5,2748176,3
"Cleveland Cavaliers","2007-08","Varejao, Anderson",3,"2009-10 (p)","PF","Anderson Varejao",5356000,17000000,4,5,2748176,3
"Cleveland Cavaliers","2008-09","Varejao, Anderson",3,"2009-10 (p)","C-F","Anderson Varejao",5784480,17000000,5,5,2748176,3
"Washington Wizards","2005-06","Blatche, Andray",2,"2006-07","F","Andray Blatche",398762,1063000,1,4,1570495,3
"Washington Wizards","2006-07","Blatche, Andray",2,"2006-07","F","Andray Blatche",664209,1063000,2,4,1570495,3
"Washington Wizards","2007-08","Blatche, Andray",4,"2010-11","PF","Andray Blatche",2479339,12000000,3,4,1570495,3
"Washington Wizards","2008-09","Blatche, Andray",4,"2010-11","C","Andray Blatche",2739669,12000000,4,4,1570495,3
"Houston Rockets","2004-05","Barrett, Andre",1,"2004-05","G","Andre Barrett",385277,385277,1,4,590525.3,1
"Toronto Raptors","2005-06","Barrett, Andre",1,"2005-06","G","Andre Barrett",641748,641748,2,4,590525.3,1
"Chicago Bulls","2006-07","Barrett, Andre",1,"2006-07","G","Andre Barrett",744551,744551,3,4,590525.3,1
"Los Angeles Clippers","2007-08","Barrett, Andre",1,"2007-08","G","Andre Barrett",,,4,4,590525.3,1
"Seattle SuperSonics","2006-07","Brown , Andre",1,"2006-07","F","Andre Brown",412718,412718,1,3,430412,1
"Memphis Grizzlies","2007-08","Brown , Andre",1,"2007-08","SF","Andre Brown",770610,770610,2,3,430412,1
"Charlotte Bobcats","2008-09","Brown , Andre",1,"2008-09","F","Andre Brown",107908,107908,3,3,430412,1
"Memphis Grizzlies","2004-05","Emmett, Andre",2,"2005-06","G","Andre Emmett",385277,818714,1,1,385277,2
"Philadelphia 76ers","2004-05","Iguodala, Andre",4,"2007-08 (t)","G-F","Andre Iguodala",1914480,8979000,1,5,4055802,4.4
"Philadelphia 76ers","2005-06","Iguodala, Andre",4,"2007-08 (t)","G","Andre Iguodala",2058000,8979000,2,5,4055802,4.4
"Philadelphia 76ers","2006-07","Iguodala, Andre",4,"2007-08","G-F","Andre Iguodala",2201640,8979000,3,5,4055802,4.4
"Philadelphia 76ers","2007-08","Iguodala, Andre",4,"2007-08","G","Andre Iguodala",2804889,8979000,4,5,4055802,4.4
"Philadelphia 76ers","2008-09","Iguodala, Andre",6,"2013-14","G-F","Andre Iguodala",11300000,80000000,5,5,4055802,4.4
"Cleveland Cavaliers","2001-02","Miller, Andre",4,"2002-03","G","Andre Miller",1934520,7480000,1,8,6841070,5.5
"Los Angeles Clippers","2002-03","Miller, Andre",4,"2002-03 (t)","G","Andre Miller",2460709,7480000,2,8,6841070,5.5
"Denver Nuggets","2003-04","Miller, Andre",6,"2008-09","G","Andre Miller",6400000,51000000,3,8,6841070,5.5
"Denver Nuggets","2004-05","Miller, Andre",6,"2008-09","G","Andre Miller",7366667,51000000,4,8,6841070,5.5
"Denver Nuggets","2005-06","Miller, Andre",6,"2008-09","G","Andre Miller",8100000,51000000,5,8,6841070,5.5
"Philadelphia 76ers","2006-07","Miller, Andre",6,"2008-09","G","Andre Miller",8966666,51000000,6,8,6841070,5.5
"Philadelphia 76ers","2007-08","Miller, Andre",6,"2008-09","PG","Andre Miller",9266666,51000000,7,8,6841070,5.5
"Philadelphia 76ers","2008-09","Miller, Andre",6,"2008-09","G","Andre Miller",10233333,51000000,8,8,6841070,5.5
"Utah Jazz","2005-06","Owens, Andre",2,"2006-07 (t)","G","Andre Owens",398762,1062971,1,2,543109,1.5
"Indiana Pacers","2007-08","Owens, Andre",1,"2007-08","G","Andre Owens",687456,687456,2,2,543109,1.5
"Toronto Raptors","2006-07","Bargnani , Andrea",4,"2009-10 (t)","F","Andrea Bargnani",4501200,21044000,1,3,4527504,4
"Toronto Raptors","2007-08","Bargnani , Andrea",4,"2009-10 (t)","PF","Andrea Bargnani",3904872,21044000,2,3,4527504,4
"Toronto Raptors","2008-09","Bargnani , Andrea",4,"2009-10 (t)","C-F","Andrea Bargnani",5176440,21044000,3,3,4527504,4
"Utah Jazz","2001-02","Kirilenko, Andrei",4,"2004-05","F","Andrei Kirilenko",831120,4350000,1,8,7064527,5.75
"Utah Jazz","2002-03","Kirilenko, Andrei",4,"2003-04 (t)","F","Andrei Kirilenko",893400,4350000,2,8,7064527,5.75
"Utah Jazz","2003-04","Kirilenko, Andrei",4,"2003-04 (t)","F","Andrei Kirilenko",955000,4350000,3,8,7064527,5.75
"Utah Jazz","2004-05","Kirilenko, Andrei",10,"2010-11","F","Andrei Kirilenko",1671694,94400000,4,8,7064527,5.75
"Utah Jazz","2005-06","Kirilenko, Andrei",6,"2010-11","F","Andrei Kirilenko",10970000,86000000,5,8,7064527,5.75
"Utah Jazz","2006-07","Kirilenko, Andrei",6,"2010-11","F","Andrei Kirilenko",12364000,86000000,6,8,7064527,5.75
"Utah Jazz","2007-08","Kirilenko, Andrei",6,"2010-11","SF","Andrei Kirilenko",13725000,86000000,7,8,7064527,5.75
"Utah Jazz","2008-09","Kirilenko, Andrei",6,"2010-11","F","Andrei Kirilenko",15106000,86000000,8,8,7064527,5.75
"Chicago Bulls","2004-05","Nocioni, Andres",3,"2006-07","F","Andres Nocioni",2525000,8300000,1,5,5151000,3.8
"Chicago Bulls","2005-06","Nocioni, Andres",3,"2006-07","F","Andres Nocioni",2780000,8300000,2,5,5151000,3.8
"Chicago Bulls","2006-07","Nocioni, Andres",3,"2006-07","F","Andres Nocioni",3950000,8300000,3,5,5151000,3.8
"Chicago Bulls","2007-08","Nocioni, Andres",5,"2011-12 (t)","SF","Andres Nocioni",8500000,37500000,4,5,5151000,3.8
"Chicago Bulls","2008-09","Nocioni, Andres",5,"2011-12 (t)","F","Andres Nocioni",8000000,37500000,5,5,5151000,3.8
"Milwaukee Bucks","2005-06","Bogut, Andrew",4,"2008-09","F","Andrew Bogut",4340000,20292307,1,4,5072947,4.25
"Milwaukee Bucks","2006-07","Bogut, Andrew",4,"2008-09 (t)","C","Andrew Bogut",4665960,20292307,2,4,5072947,4.25
"Milwaukee Bucks","2007-08","Bogut, Andrew",4,"2008-09 (t)","PF/C","Andrew Bogut",4991520,20292307,3,4,5072947,4.25
"Milwaukee Bucks","2008-09","Bogut, Andrew",5,"2012-13","C","Andrew Bogut",6294307,72500000,4,4,5072947,4.25
"Los Angeles Lakers","2005-06","Bynum, Andrew",4,"2008-09 (t)","C","Andrew Bynum",1890000,8860000,1,4,2215395,4
"Los Angeles Lakers","2006-07","Bynum, Andrew",4,"2008-09 (t)","C","Andrew Bynum",2030280,8860000,2,4,2215395,4
"Los Angeles Lakers","2007-08","Bynum, Andrew",4,"2008-09 (t)","C","Andrew Bynum",2172000,8860000,3,4,2215395,4
"Los Angeles Lakers","2008-09","Bynum, Andrew",4,"2011-12","C","Andrew Bynum",2769300,58000000,4,4,2215395,4
"Orlando Magic","2001-02","DeClercq, Andrew",5,"2002-03","C","Andrew DeClercq",2900000,8400000,1,4,2780250,3
"Orlando Magic","2002-03","DeClercq, Andrew",3,"2002-03 (t)","C","Andrew DeClercq",3262500,9790000,2,4,2780250,3
"Orlando Magic","2003-04","DeClercq, Andrew",2,"2004-05","C","Andrew DeClercq",2458500,5000000,3,4,2780250,3
"Orlando Magic","2004-05","DeClercq, Andrew",2,"2004-05","C","Andrew DeClercq",2500000,5000000,4,4,2780250,3
"Golden State Warriors","2004-05","Biedrins, Andris",2,"2007-08","F-C","Andris Biedrins",1727760,8210000,1,5,3442283,2.8
"Golden State Warriors","2005-06","Biedrins, Andris",2,"2007-08","F-C","Andris Biedrins",1860000,8210000,2,5,3442283,2.8
"Golden State Warriors","2006-07","Biedrins, Andris",4,"2007-08","C-F","Andris Biedrins",1986960,8210000,3,5,3442283,2.8
"Golden State Warriors","2007-08","Biedrins, Andris",3,"2007-08","PF","Andris Biedrins",2636696,6210000,4,5,3442283,2.8
"Golden State Warriors","2008-09","Biedrins, Andris",3,"2013-14","C","Andris Biedrins",9000000,62000000,5,5,3442283,2.8
"Phoenix Suns","2001-02","Hardaway, Anfernee",7,"2005-06","G-F","Anfernee Hardaway",11250000,86680000,1,5,1.04e+07,5.8
"Phoenix Suns","2002-03","Hardaway, Anfernee",7,"2003-04 (p)","G-F","Anfernee Hardaway",12375000,86680000,2,5,1.04e+07,5.8
"Phoenix Suns","2003-04","Hardaway, Anfernee",7,"2003-04 (p)","G-F","Anfernee Hardaway",13500000,86680000,3,5,1.04e+07,5.8
"New York Knicks","2004-05","Hardaway, Anfernee",7,"2005-06","G-F","Anfernee Hardaway",14625000,86680000,4,5,1.04e+07,5.8
"Miami Heat","2007-08","Hardaway, Anfernee",1,"2007-08","G","Anfernee Hardaway",330007,330007,5,5,1.04e+07,5.8
"Seattle SuperSonics","2002-03","Sesay, Ansu",2,"2003-04","F","Ansu Sesay",512435,1150000,1,2,575557,2
"Seattle SuperSonics","2003-04","Sesay, Ansu",2,"2003-04","F","Ansu Sesay",638679,1150000,2,2,575557,2
"Golden State Warriors","2001-02","Jamison, Antawn",6,"2006-07","F","Antawn Jamison",3388176,85000000,1,8,1.16e+07,5.75
"Golden State Warriors","2002-03","Jamison, Antawn",6,"2005-06 (p)","F","Antawn Jamison",10067750,79300000,2,8,1.16e+07,5.75
"Dallas Mavericks","2003-04","Jamison, Antawn",6,"2007-08","F","Antawn Jamison",11326200,79300000,3,8,1.16e+07,5.75
"Washington Wizards","2004-05","Jamison, Antawn",6,"2006-07 (p)","F","Antawn Jamison",12585000,79300000,4,8,1.16e+07,5.75
"Washington Wizards","2005-06","Jamison, Antawn",6,"2006-07 (p)","F","Antawn Jamison",13840000,79300000,5,8,1.16e+07,5.75
"Washington Wizards","2006-07","Jamison, Antawn",6,"2007-08","F","Antawn Jamison",15101626,79300000,6,8,1.16e+07,5.75
"Washington Wizards","2007-08","Jamison, Antawn",6,"2007-08","SF","Antawn Jamison",16360090,79300000,7,8,1.16e+07,5.75
"Washington Wizards","2008-09","Jamison, Antawn",4,"2011-12","F","Antawn Jamison",9923285,50000000,8,8,1.16e+07,5.75
"Miami Heat","2001-02","Carter, Anthony",3,"2003-04","G","Anthony Carter",3250000,12000000,1,7,1577142,1.714286
"Miami Heat","2002-03","Carter, Anthony",3,"2002-03 (p)","G","Anthony Carter",3656250,10970000,2,7,1577142,1.714286
"San Antonio Spurs","2003-04","Carter, Anthony",2,"2004-05","G","Anthony Carter",688679,1500000,3,7,1577142,1.714286
"Minnesota Timberwolves","2004-05","Carter, Anthony",1,"2004-05","G","Anthony Carter",807546,807546,4,7,1577142,1.714286
"Minnesota Timberwolves","2005-06","Carter, Anthony",1,"2005-06","G","Anthony Carter",719373,719373,5,7,1577142,1.714286
"Denver Nuggets","2007-08","Carter, Anthony",1,"2007-08","PG","Anthony Carter",770610,770610,6,7,1577142,1.714286
"Denver Nuggets","2008-09","Carter, Anthony",1,"2007-08","G","Anthony Carter",1147533,770610,7,7,1577142,1.714286
"Atlanta Hawks","2005-06","Grundy, Anthony",1,"2005-06","G","Anthony Grundy",398762,398762,1,1,398762,1
"New Jersey Nets","2002-03","Johnson, Anthony",1,"2002-03","G","Anthony Johnson",699935,699935,1,7,1933373,3.571429
"Indiana Pacers","2003-04","Johnson, Anthony",2,"2004-05","G","Anthony Johnson",813679,1750000,2,7,1933373,3.571429
"Indiana Pacers","2004-05","Johnson, Anthony",6,"2009-10","G","Anthony Johnson",2200000,10000000,3,7,1933373,3.571429
"Indiana Pacers","2005-06","Johnson, Anthony",6,"2007-08","G","Anthony Johnson",2420000,10000000,4,7,1933373,3.571429
"Atlanta Hawks","2006-07","Johnson, Anthony",4,"2007-08","G","Anthony Johnson",2640000,10000000,5,7,1933373,3.571429
