serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,monthly_income_imputed
0,0.63541515700000006,32,0,0.519493502,3000.0,4,0,1,0,1.0,3000.0
0,0.31844614999999998,58,0,1.3826291080000002,3833.0,26,0,4,0,0.0,718.0
0,0.0065418509999999996,68,0,0.108089191,10000.0,10,0,2,0,1.0,6700.0
0,0.0075076500000000003,74,0,7.0,0.0,4,0,0,0,0.0,0.0
0,0.033461782000000002,44,0,1.2433628320000001,4067.0,5,0,2,0,1.0,1960.0
0,0.003722015,58,0,0.63332301000000002,3228.0,5,0,1,0,0.0,4800.0
0,0.0,59,0,0.21885434100000001,19167.0,13,0,2,0,0.0,11333.0
0,0.0,48,0,0.51746868800000001,4550.0,7,0,2,0,0.0,9328.0
0,0.083880002999999981,53,0,0.19964753299999999,7943.0,8,0,1,0,0.0,12326.0
0,0.093962274999999998,55,0,0.112051635,9450.0,6,0,2,0,0.0,2700.0
0,0.14799625299999999,55,0,0.323088235,6799.0,5,0,1,0,0.0,5372.0
0,0.36248381800000001,27,0,567.0,0.0,4,0,0,0,0.0,0.0
0,0.116676791,31,0,0.34359379100000004,3800.0,7,0,1,0,0.0,8333.0
0,0.13090210599999999,48,1,0.427882174,3937.0,17,0,1,0,0.0,8583.0
0,0.040795357999999997,49,0,0.80199935499999975,3100.0,11,0,1,0,0.0,2717.0
0,0.0,63,0,2.0,2228.0,4,0,0,0,0.0,2228.0
0,0.63773640600000003,54,2,3.3821961620000001,1875.0,9,0,2,0,0.0,3000.0
0,0.081379827000000002,63,0,1268.0,1.0,8,0,1,0,0.0,1.0
0,0.16653274000000001,53,0,0.54362594900000005,7506.0,11,0,3,0,3.0,9600.0
0,0.008632034999999998,79,0,0.36515115399999998,4200.0,9,0,1,0,0.0,2777.0
0,0.068335150999999997,75,0,0.010927876,10065.0,9,0,0,0,0.0,6000.0
0,0.18498678700000001,55,4,3144.0,0.0,11,0,1,0,0.0,0.0
1,0.08533829300000001,51,0,0.47750362800000001,6200.0,11,0,1,0,0.0,12707.0
0,0.038334510000000002,56,0,0.43891221800000002,5000.0,7,0,2,0,0.0,4083.0
0,0.043032042,64,0,0.33201638900000002,6833.0,14,0,2,0,0.0,1360.0
0,1.095083357,53,5,0.53670379899999998,3500.0,7,1,1,2,0.0,3583.0
0,0.23169226800000001,40,0,0.119660709,3300.0,7,0,0,0,0.0,6833.0
0,0.13760946199999999,49,0,0.42953389199999997,7272.0,11,0,2,0,0.0,9750.0
1,0.65531647299999995,63,0,5223.0,0.0,19,0,2,0,0.0,0.0
0,0.59398524399999997,63,0,0.33269853399999999,5250.0,4,0,2,0,0.0,5000.0
0,0.017508177999999999,73,1,0.13558915300000002,4166.0,12,0,1,0,0.0,8586.0
0,0.009025178,45,0,0.37683643500000003,8167.0,4,0,1,0,2.0,9006.0
0,0.080288098000000002,37,0,0.32244625900000001,6000.0,7,0,1,0,0.0,5005.0
0,0.18155732399999999,36,0,0.56071963999999996,2000.0,7,0,1,0,1.0,2427.0
0,0.147123525,41,0,0.43602562099999997,6400.0,5,0,1,0,2.0,8584.0
0,0.025601771999999998,63,1,0.26277372300000001,10000.0,8,0,1,0,0.0,5416.0
0,0.19637279899999999,43,0,0.53748558200000007,2600.0,10,0,1,0,0.0,11500.0
0,0.0,66,0,3730.0,0.0,8,0,1,0,0.0,0.0
0,0.060374869999999997,42,0,0.57867672299999995,5833.0,17,0,2,0,2.0,8210.0
0,0.99999990000000005,28,0,0.0,2325.0,0,0,0,0,0.0,2325.0
0,0.99999990000000005,68,0,0.040493251000000001,6000.0,0,0,0,0,0.0,4500.0
0,0.053431552,41,0,0.20364404,9000.0,3,0,1,0,0.0,6300.0
0,0.63432705600000006,49,1,0.123125125,15000.0,7,0,0,0,1.0,8200.0
0,0.090614887000000005,42,0,86.0,1.0,5,0,0,0,0.0,1.0
0,0.0079826210000000005,43,1,0.0096911689999999995,208333.0,11,0,1,0,1.0,2300.0
0,0.26754133600000002,59,0,0.637607437,5700.0,13,0,2,0,1.0,4916.0
0,0.019779326,76,0,0.26714925899999997,2900.0,9,0,0,0,0.0,2666.0
0,0.010402204999999999,68,0,0.094140517000000007,3600.0,6,0,1,0,0.0,3800.0
0,0.0080998379999999998,69,0,0.38989559600000001,8332.0,3,0,1,0,0.0,4898.0
0,0.69148841800000005,42,0,0.27272167899999999,16250.0,11,0,1,0,1.0,7900.0
0,0.112855258,64,0,0.30757632899999998,2652.0,6,0,1,0,0.0,6000.0
0,0.048244492999999999,62,0,0.26287915300000003,16615.0,11,0,1,0,1.0,4408.0
0,0.99999990000000005,62,0,0.0,5480.0,3,0,0,0,0.0,5644.0
0,0.219382879,56,1,942.0,0.0,9,0,1,0,1.0,0.0
0,0.37187540099999999,29,0,0.53628856999999996,2300.0,9,0,1,0,3.0,5999.0
0,0.025856408000000001,67,0,0.083799311000000001,13054.0,13,0,1,0,0.0,11666.0
0,0.25889774999999998,33,0,0.53744133900000002,4900.0,3,0,1,0,1.0,5500.0
0,0.0,55,1,0.039885530000000002,5590.0,8,0,0,0,0.0,3000.0
0,0.94876280899999998,27,0,0.144948404,4166.0,5,0,0,0,0.0,5600.0
0,0.016598893,30,0,0.13657561599999998,1500.0,5,0,0,0,0.0,4583.0
0,0.063329564000000019,37,0,0.32993527499999997,6179.0,6,0,1,0,3.0,5600.0
0,0.42637114199999998,62,1,0.406053995,3666.0,15,0,1,0,0.0,2200.0
0,0.042606842999999998,58,0,3976.0,0.0,13,0,3,0,0.0,0.0
0,0.15524052499999999,52,0,0.483518065,6946.0,15,0,2,0,1.0,10904.0
0,0.28423615299999999,45,1,0.31889081499999999,7500.0,9,0,1,0,2.0,8505.0
0,0.033708850999999998,41,0,0.40870635300000002,6500.0,9,0,1,0,2.0,15000.0
0,0.0,29,0,0.193935355,3000.0,7,0,0,0,0.0,13100.0
1,0.037197689999999999,47,0,0.039758410000000001,25000.0,11,0,1,0,3.0,12500.0
0,0.100773109,41,0,0.199761673,9230.0,7,0,1,0,0.0,7400.0
0,0.049529205,61,0,542.0,0.0,15,0,0,0,0.0,0.0
0,0.118853837,50,0,2720.0,0.0,7,0,1,0,2.0,0.0
0,0.630073985,38,0,0.56332803399999998,1886.0,3,0,1,0,0.0,4500.0
0,0.94726485600000021,28,0,0.46717171699999999,1187.0,4,0,0,0,0.0,1200.0
0,0.29254149200000001,74,0,0.164917541,2000.0,3,0,0,0,0.0,6083.0
0,0.18689065499999999,54,0,0.65558912400000002,3640.0,7,0,1,0,1.0,5755.0
0,0.0075019369999999985,63,0,0.27822630700000001,8050.0,13,0,2,0,3.0,6633.0
0,0.52231462500000003,45,0,0.29022909200000002,14491.0,13,0,1,0,3.0,7500.0
0,0.57160458700000005,66,0,870.0,1.0,12,0,0,0,0.0,1.0
0,0.26790561400000001,76,0,0.28545299400000002,8200.0,12,0,0,0,0.0,6800.0
0,0.30524631699999999,39,0,0.188281635,10154.0,6,0,1,0,2.0,1975.0
0,0.99999990000000005,42,1,0.113421853,6250.0,3,3,0,1,2.0,5300.0
0,0.20394796100000001,46,1,1.2065161179999999,5800.0,12,1,4,0,2.0,2800.0
0,0.054553315999999998,73,0,0.043259134999999997,16666.0,13,0,0,0,0.0,5600.0
0,0.0,59,0,2113.0,0.0,13,0,2,0,0.0,0.0
0,0.070837510000000006,64,0,0.25529078500000002,6000.0,6,0,0,0,1.0,5525.0
1,0.99150212400000004,61,10,1.2979007,3000.0,11,2,3,5,1.0,2500.0
0,0.21246448500000001,58,0,0.51899118799999999,3290.0,10,0,1,0,1.0,1450.0
0,0.29709460100000001,43,1,0.60376329399999995,3666.0,9,0,1,0,2.0,5100.0
0,0.051077957,74,0,0.306409131,3416.0,9,0,1,0,0.0,6519.0
0,0.0,23,0,0.0,3500.0,1,0,0,0,1.0,201.0
0,0.028910707000000001,52,0,0.013543599,5389.0,7,0,0,0,2.0,2646.0
0,0.99999990000000005,32,2,0.095584667999999998,2060.0,1,0,0,0,0.0,1666.0
1,0.57985083999999998,42,0,0.59422436099999998,2700.0,8,0,0,0,0.0,3401.0
0,0.073393456999999981,38,1,0.38476152400000002,10000.0,9,0,2,0,0.0,4333.0
0,0.079178218999999994,82,0,0.176964607,5000.0,3,0,1,0,0.0,4539.0
0,0.073123172,33,0,0.21640521600000001,5290.0,9,0,0,0,0.0,11667.0
0,0.10203150800000001,66,0,90.0,1.0,4,0,0,0,0.0,1.0
0,0.354125994,57,0,0.55876241100000001,4330.0,4,0,1,0,0.0,6500.0
0,0.71930576400000001,64,0,0.18622571800000001,6228.0,5,0,1,0,0.0,10704.0
0,0.045017362999999998,72,0,0.020763907000000002,3900.0,8,0,0,0,0.0,2390.0
0,0.32059383699999999,53,0,1.114622389,5600.0,14,0,1,0,1.0,2000.0
0,0.30115244200000002,46,0,0.254661625,7668.0,10,0,1,0,3.0,8000.0
0,0.138793584,43,0,0.384074741,11666.0,9,0,5,0,0.0,6600.0
0,0.48555844799999998,51,0,0.099635479999999998,6583.0,5,0,0,0,0.0,13063.0
0,0.38480768999999998,42,0,0.53309963599999999,7416.0,5,0,1,0,3.0,6853.0
0,0.018124667000000001,60,0,0.023181455,1250.0,4,0,0,0,1.0,5166.0
1,0.99999990000000005,54,0,0.22840286600000001,2372.0,2,0,0,1,0.0,7955.0
0,0.052161271000000002,49,0,0.067629397000000008,6993.0,5,0,0,0,1.0,7083.0
1,0.91314049799999997,37,2,1.6203449139999999,4000.0,16,0,3,0,1.0,3833.0
0,0.61138861099999997,22,0,0.34706616700000004,800.0,4,0,0,0,0.0,1308.0
0,0.499666889,39,0,0.45017182100000003,3200.0,8,0,1,0,0.0,6667.0
1,0.8141545109999998,50,1,0.29713968299999999,3600.0,8,0,1,1,1.0,13200.0
0,0.029692430999999998,58,2,0.28718775200000002,6204.0,19,0,1,0,0.0,1409.0
0,0.74960229099999998,62,0,7963.0,0.0,7,0,2,0,3.0,0.0
0,0.08663540900000001,40,0,887.0,0.0,8,0,1,0,1.0,0.0
0,0.95439569999999996,45,2,0.48421409999999998,8836.0,10,0,1,0,1.0,6467.0
0,0.48409998500000001,40,0,0.42325150499999997,10794.0,9,0,2,0,2.0,5000.0
0,0.084826988000000006,59,0,0.53418211999999998,3612.0,9,0,2,0,0.0,6200.0
0,0.0,30,0,0.0,4700.0,1,0,0,0,1.0,338.0
0,0.57073821000000002,39,0,1314.0,0.0,5,2,2,0,0.0,0.0
0,0.87544065799999982,37,0,0.43771746700000003,1436.0,5,0,0,0,1.0,4583.0
0,0.000309046,49,0,562.0,1.0,10,0,1,0,0.0,1.0
0,0.69781269099999998,31,0,0.236980252,12000.0,10,0,0,0,1.0,4200.0
0,0.99999990000000005,49,1,0.098937721000000006,4800.0,1,0,0,0,4.0,4726.0
0,0.27189824800000001,64,0,556.0,0.0,3,0,1,0,0.0,0.0
0,0.25081831600000004,36,0,0.240143984,5833.0,6,0,2,0,1.0,9950.0
1,0.51704536400000001,61,0,0.57259032100000007,7500.0,20,0,2,0,0.0,3092.0
0,0.021741679,70,0,0.187762448,5000.0,11,0,1,0,0.0,9850.0
0,0.008665510999999999,58,0,1.9086294420000001,6500.0,17,0,5,0,0.0,800.0
0,0.187090597,63,0,0.50687328200000004,4000.0,10,0,2,0,1.0,1267.0
0,0.19361277399999999,47,0,0.020146832999999999,5856.0,1,0,0,0,3.0,5922.0
0,0.53196333100000004,64,2,0.48008215799999998,18500.0,19,0,3,0,1.0,15666.0
0,0.34696038400000001,41,0,1.4326866549999999,1700.0,13,0,3,0,2.0,1000.0
0,0.99999990000000005,40,0,2866.0,0.0,2,0,2,0,0.0,0.0
0,0.104693763,36,0,0.29737270399999999,4300.0,8,0,1,0,1.0,9666.0
0,0.046740047999999999,57,0,0.40479986600000001,11916.0,13,0,3,0,0.0,16698.0
0,0.14331687900000001,70,3,4294.0,0.0,16,0,5,1,0.0,0.0
0,0.33429564499999997,48,0,5368.0,0.0,13,0,2,0,0.0,0.0
0,0.33659614799999998,36,0,0.080372250000000006,1181.0,2,0,0,0,0.0,9800.0
0,0.044842922,51,0,0.23358954000000001,11318.0,5,0,1,0,2.0,7500.0
0,0.32145784399999999,46,2,1434.0,1.0,6,0,1,1,0.0,1.0
0,0.82715101299999982,56,1,0.21997471599999999,8700.0,8,0,0,1,1.0,12500.0
0,0.44279827799999999,51,0,2092.0,0.0,11,0,0,0,2.0,0.0
0,0.99999990000000005,75,0,8.0,0.0,2,0,0,0,0.0,0.0
0,0.569824212,40,0,0.36142168899999999,11000.0,18,0,1,0,2.0,4855.0
0,0.038258399999999998,68,0,0.0098316949999999997,6000.0,12,0,0,0,0.0,2546.0
0,0.12136536000000001,34,0,3300.0,0.0,5,0,2,0,0.0,0.0
0,0.17543434899999999,47,0,0.149077983,4500.0,9,0,0,0,0.0,4200.0
0,0.192722211,77,0,0.45793064200000011,7035.0,21,0,1,0,1.0,2032.0
0,0.10651727900000001,40,0,0.26315191500000001,8800.0,17,0,3,0,4.0,7500.0
0,0.079538419999999999,53,0,2958.0,0.0,9,0,1,0,2.0,0.0
0,0.25250536100000004,52,0,0.44259290099999998,6000.0,13,0,1,0,2.0,2260.0
0,0.035670256000000004,62,0,0.42767496300000002,9401.0,9,0,4,0,0.0,4166.0
0,0.0010195919999999999,83,0,0.00019996,5000.0,10,0,0,0,0.0,5000.0
0,0.245744673,46,0,0.58512224200000007,6707.0,21,0,1,0,3.0,4666.0
0,1.163184115,52,0,0.319174181,4213.0,7,0,0,0,0.0,7021.0
0,0.23801693300000001,58,0,0.60101734699999998,7666.0,5,0,3,0,0.0,7815.0
0,0.47653563300000001,33,0,0.312937413,5000.0,4,0,1,0,0.0,8932.0
0,0.37504998000000001,64,0,0.011195521999999999,2500.0,4,0,0,0,0.0,5000.0
0,0.98509226400000005,48,0,0.37690561099999997,3082.0,4,0,1,0,0.0,2600.0
0,0.011904652999999999,69,0,1653.0,1.0,20,0,2,0,0.0,1.0
0,0.0,39,0,0.73513191200000005,6708.0,13,0,2,0,2.0,10000.0
0,0.71489281900000001,34,1,0.87035494099999999,6000.0,8,0,1,0,0.0,3500.0
0,0.111715105,47,0,0.31517369699999997,16666.0,12,0,2,0,3.0,10528.0
0,0.0,63,0,0.052672049000000006,2600.0,3,0,0,0,1.0,2150.0
0,0.10101257600000001,51,0,0.34037276999999999,12500.0,21,0,2,0,1.0,7800.0
1,0.023312659999999999,58,0,0.632371083,4052.0,13,1,2,0,0.0,3000.0
0,0.077358439000000001,44,0,0.32426757300000003,10000.0,10,0,2,0,0.0,8100.0
0,0.015293506,50,0,0.37251356200000002,1105.0,13,0,0,0,0.0,2300.0
0,0.012236873000000001,46,0,1189.0,0.0,6,0,1,0,0.0,0.0
0,0.0046806520000000004,29,0,0.057388521999999997,5000.0,4,0,0,0,0.0,4500.0
0,0.35407130999999997,51,0,0.053521540999999999,6800.0,5,0,0,0,0.0,12500.0
0,0.00035884300000000002,54,0,0.72006998300000002,4000.0,11,0,0,0,0.0,2500.0
0,0.040536902,34,0,0.64409103400000001,3646.0,11,0,1,0,0.0,3600.0
0,0.99999990000000005,48,0,0.16521332899999999,6421.0,0,1,0,0,2.0,2880.0
0,0.19877594000000001,83,0,0.217065334,2800.0,9,0,0,0,0.0,4584.0
0,0.0,90,0,0.0,6601.0,3,0,0,0,0.0,6601.0
0,0.011343376000000001,85,0,13.0,0.0,5,0,0,0,0.0,0.0
0,0.107720423,47,0,0.216280839,9200.0,12,0,3,0,2.0,5400.0
0,0.013399329999999999,71,0,0.01283697,2336.0,3,0,0,0,1.0,1500.0
0,0.064097860999999992,56,0,1387.0,0.0,11,0,1,0,0.0,0.0
0,0.54712414600000003,40,0,0.121319069,9066.0,6,0,0,0,4.0,4335.0
0,0.15713714500000001,59,0,0.26491169600000003,3000.0,8,0,0,0,1.0,11256.0
1,0.77871949799999984,81,0,0.53801306000000004,4287.0,11,0,2,0,0.0,3104.0
0,0.0,58,0,0.41108413100000002,7000.0,10,0,2,0,1.0,14500.0
0,0.119460647,34,0,0.32224953000000001,6916.0,5,0,1,0,0.0,5942.0
0,0.12841966199999999,59,0,0.22643396099999999,11000.0,10,0,1,0,0.0,10250.0
0,0.00023728399999999999,64,0,0.42778766299999998,6743.0,10,0,1,0,0.0,7709.0
0,0.086492475999999999,64,0,0.074734315999999981,5833.0,8,0,1,0,1.0,13820.0
0,0.0039860490000000002,81,0,0.20716467599999999,3600.0,10,0,1,0,0.0,4916.0
0,0.23197949400000001,58,0,0.37380101599999999,10633.0,28,0,4,0,0.0,6000.0
0,0.041411470999999998,45,0,0.0084561759999999993,8750.0,3,0,0,0,3.0,5600.0
0,0.60602541799999998,39,3,0.37564734100000002,7916.0,10,0,2,0,2.0,7875.0
0,0.075168462000000005,48,0,1421.0,0.0,3,0,1,0,0.0,0.0
0,0.010186242999999999,47,0,0.022504140999999998,24750.0,7,0,0,0,2.0,3500.0
0,0.51597568799999993,28,0,0.67985379499999998,4650.0,14,0,1,0,0.0,2300.0
0,0.16572078300000001,68,0,0.31191697800000001,8575.0,10,0,1,0,0.0,2000.0
0,0.19462574799999999,31,1,0.28357175800000001,4333.0,20,0,0,0,0.0,3600.0
0,0.799018271,30,0,1.298161471,1250.0,4,0,1,0,0.0,2800.0
0,0.0,39,0,0.55177928799999998,2500.0,7,0,2,0,0.0,5833.0
0,0.66783304200000004,60,0,81.0,0.0,2,0,0,0,0.0,0.0
0,0.99999990000000005,34,1,0.0,5400.0,0,1,0,0,0.0,2350.0
0,0.037379559,37,0,0.33385179399999998,9000.0,11,0,2,0,0.0,7550.0
0,0.00339983,63,0,0.262694922,2500.0,5,0,0,0,0.0,11600.0
0,0.106475741,32,0,0.80230826499999985,2685.0,5,0,1,0,1.0,2000.0
0,0.51818640500000002,73,0,0.50488709100000007,8900.0,17,0,1,0,1.0,3475.0
0,0.28859278500000002,51,0,0.22621397600000001,10131.0,4,0,2,0,3.0,9707.0
0,0.39724416099999998,25,0,0.29485257399999998,2000.0,5,0,0,0,0.0,254.0
0,0.00069992999999999997,83,0,0.0,10500.0,4,0,0,0,0.0,0.0
0,0.042759900000000003,52,0,7806.0,0.0,21,0,2,0,2.0,0.0
0,0.041366785000000003,45,0,0.22457754199999999,10000.0,8,0,0,0,2.0,8242.0
0,0.61040870300000005,41,1,0.064417177999999992,2933.0,7,0,0,0,2.0,10833.0
0,0.52620166200000007,54,4,0.34354625799999999,25000.0,9,0,3,0,1.0,6606.0
0,0.037378679999999997,76,1,0.37278722700000011,2880.0,8,0,1,0,0.0,12084.0
1,0.91377361499999998,55,2,0.88165542900000005,4300.0,17,0,2,0,1.0,2326.0
0,0.25128410600000001,34,0,0.75145815999999999,8400.0,18,0,4,0,0.0,3200.0
0,0.072587125000000002,29,0,0.046662778000000002,12000.0,15,0,0,0,0.0,1666.0
0,0.010441271,72,0,692.0,0.0,7,0,0,0,0.0,0.0
0,0.0018822419999999999,50,0,1.3174730109999999,2500.0,9,0,2,0,1.0,3200.0
0,0.83359415799999981,44,0,178.0,0.0,9,0,0,0,0.0,0.0
1,1.004421666,48,3,0.60509872499999995,4000.0,10,0,2,0,1.0,3955.0
0,0.016658432000000001,53,0,0.31518720100000003,9000.0,6,0,1,0,0.0,6000.0
0,0.527904017,67,0,486.0,0.0,4,0,1,0,0.0,0.0
0,0.077910173999999999,82,0,162.0,0.0,2,0,0,0,0.0,0.0
0,0.25631460499999997,58,3,1.511162946,3000.0,24,0,2,0,0.0,3750.0
0,0.21278519900000001,37,1,106.2727273,21.0,6,0,2,0,4.0,0.0
0,0.95120975799999996,36,0,0.061445262,2310.0,2,0,0,0,2.0,3466.0
0,0.066928871000000001,35,0,0.611050027,3637.0,5,0,1,0,2.0,2500.0
0,0.102950576,43,1,0.25227477300000001,10000.0,18,0,3,0,3.0,7620.0
0,0.040283238999999998,54,0,0.135553584,12400.0,11,0,1,0,0.0,6903.0
0,0.35298938499999999,59,1,0.43955634999999998,13433.0,18,0,2,0,2.0,7600.0
0,0.66694869600000006,56,0,0.185055253,5700.0,7,0,0,0,0.0,2533.0
0,0.86321367900000001,29,0,0.102670277,18836.0,4,0,1,0,2.0,1600.0
0,0.25706703600000003,37,0,0.29180915200000002,6140.0,6,0,0,0,4.0,5250.0
0,0.99999990000000005,42,0,0.21723678399999999,2250.0,1,0,0,0,2.0,9403.0
0,0.38395220800000002,35,0,0.49856676200000011,15000.0,18,0,2,0,0.0,3000.0
0,0.02464305,75,0,0.0099478919999999998,4221.0,10,0,0,0,1.0,5500.0
0,0.068038735000000003,55,0,2.496503497,1000.0,6,0,1,0,2.0,1910.0
0,0.25881218499999997,35,0,3947.0,1.0,4,0,1,0,0.0,1.0
0,0.39121463400000001,39,1,0.28718133499999998,11100.0,8,0,2,0,2.0,7051.0
0,0.37791527800000002,51,0,0.061148227999999999,8830.0,5,0,0,0,1.0,9000.0
0,0.99999990000000005,51,1,35.0,1.0,0,1,0,0,0.0,1.0
1,0.232226657,59,6,6.0944527739999996,2000.0,16,2,1,2,1.0,601.0
0,0.32348184099999999,26,0,262.0,1.0,3,0,0,0,0.0,1.0
0,0.014466655,51,0,0.26296215300000003,4570.0,28,0,2,0,0.0,5792.0
0,0.99999990000000005,68,1,0.0,4277.0,0,1,0,0,0.0,4277.0
0,0.030761368000000001,62,0,0.015661446000000002,3000.0,5,0,1,0,0.0,3000.0
0,0.99999990000000005,38,0,0.11087897300000001,6700.0,3,0,0,0,3.0,7000.0
0,0.21136765199999999,60,0,0.24045328999999999,10500.0,19,0,2,0,0.0,12000.0
0,0.24713584299999999,34,0,0.090524087000000003,5666.0,3,0,0,0,1.0,4100.0
0,0.94697819600000022,34,0,0.33543837500000001,9500.0,12,0,2,0,2.0,9500.0
0,0.866344471,34,0,0.14802475000000001,2100.0,1,0,0,0,0.0,8300.0
0,0.096113878,41,0,0.224395714,8025.0,10,0,0,0,4.0,5333.0
0,0.27532653499999998,66,1,0.38317757000000002,5884.0,17,0,1,0,0.0,8350.0
0,0.59511246900000003,33,0,0.37852548200000002,2020.0,3,0,0,0,0.0,6250.0
0,0.040423812000000003,61,0,28.0,0.0,6,0,0,0,0.0,0.0
0,0.57232443799999999,50,0,1.0521711970000001,3200.0,12,0,1,0,3.0,3700.0
0,0.083766009000000002,53,0,0.34210815,9116.0,6,0,2,0,1.0,6250.0
0,0.0,78,0,396.0,0.0,3,0,0,0,0.0,0.0
0,0.0099174460000000016,64,0,0.44743097500000001,5468.0,12,0,2,0,0.0,7923.0
0,0.99999990000000005,37,0,0.37763169600000002,11256.0,11,0,2,0,1.0,10250.0
0,0.29739805000000002,52,0,0.57971737299999992,6014.0,8,0,1,0,3.0,11496.0
0,0.30719159299999999,39,0,0.607185223,5900.0,5,0,2,0,0.0,6933.0
0,0.013713796,47,0,0.40126797600000003,6466.0,6,0,2,0,0.0,6800.0
0,0.99999990000000005,70,0,0.0,2500.0,1,0,0,0,0.0,2500.0
0,0.0,48,0,0.05692407,10838.0,4,0,0,0,1.0,43600.0
0,0.90179541200000002,47,1,0.52674524,3308.0,6,0,1,0,3.0,5416.0
0,0.39008847200000002,39,0,0.32603648400000002,3014.0,6,0,0,0,0.0,5051.0
0,0.92605991600000004,48,1,12546.0,0.0,8,0,4,0,0.0,0.0
0,0.226957563,80,0,0.4375,4079.0,11,0,1,0,1.0,4100.0
0,0.023237542000000003,58,0,0.81242857099999999,6999.0,19,0,3,0,1.0,17280.0
0,0.109278443,54,0,1370.0,0.0,5,0,1,0,0.0,0.0
0,0.012951763999999999,68,0,1968.0,0.0,5,0,1,0,0.0,0.0
0,0.18622325100000001,58,1,0.251769464,8900.0,11,0,1,0,3.0,10000.0
0,0.21954015700000001,31,0,220.0,1.0,4,0,0,0,0.0,1.0
0,0.126458612,60,0,263.0,1.0,7,0,0,0,0.0,1.0
0,0.20113276099999999,65,0,0.24841772200000001,7583.0,9,0,2,0,0.0,3288.0
0,0.96361455399999996,46,0,0.22428330499999999,3557.0,5,1,1,0,3.0,8000.0
0,0.081312065000000003,65,1,315.0,1.0,6,0,0,0,0.0,1.0
0,0.19129695999999999,70,0,0.213109877,10083.0,15,0,1,0,0.0,6666.0
0,0.99999990000000005,50,0,0.91485738600000022,2348.0,5,0,1,0,0.0,4716.0
0,0.99999990000000005,68,0,0.19674556200000001,1351.0,3,0,0,0,0.0,4000.0
0,0.096009775000000006,53,0,0.54515706799999997,4583.0,8,0,1,0,1.0,8800.0
0,0.0,37,1,1898.0,0.0,3,0,1,0,0.0,0.0
0,0.019391296999999998,68,0,0.064577140999999991,3700.0,9,0,0,0,1.0,5167.0
0,0.149113358,68,0,0.69920521700000005,4906.0,8,0,2,0,0.0,5101.0
0,0.99999990000000005,27,0,0.014697237,1700.0,0,0,0,0,1.0,1583.0
